UC San Diego Health Zip Codes,
Employee Zip Code,% Total In Zip Code
98272,0.004%
98281,0.004%
98338,0.004%
98360,0.004%
98503,0.004%
98597,0.004%
98604,0.004%
98665,0.004%
98686,0.004%
98801,0.004%
99037,0.004%
99218,0.004%
99354,0.004%
99505,0.004%
99508,0.004%
99705,0.004%
99709,0.004%
